date,cv,professions,regions,industries,vacancy,invitation,response,added
20230925,data-20230925T024319-structure-20161130T143000.xml.gz,data-20230925T043318-structure-20161130T143000.xml.gz,data-20230925T043318-structure-20161130T143000.xml.gz,data-20230925T043318-structure-20161130T143000.xml.gz,data-20230925T191854-structure-20161130T143000.xml.gz,data-20230925T093644-structure-20161130T143000.xml.gz,data-20230925T093644-structure-20161130T143000.xml.gz,False
20230924,data-20230924T014858-structure-20161130T143000.xml.gz,data-20230924T041305-structure-20161130T143000.xml.gz,data-20230924T041305-structure-20161130T143000.xml.gz,data-20230924T041305-structure-20161130T143000.xml.gz,,data-20230924T093608-structure-20161130T143000.xml.gz,data-20230924T093608-structure-20161130T143000.xml.gz,False
20230923,data-20230923T030548-structure-20161130T143000.xml.gz,data-20230923T040327-structure-20161130T143000.xml.gz,data-20230923T040327-structure-20161130T143000.xml.gz,data-20230923T040327-structure-20161130T143000.xml.gz,data-20230923T191936-structure-20161130T143000.xml.gz,data-20230923T093659-structure-20161130T143000.xml.gz,data-20230923T093659-structure-20161130T143000.xml.gz,False
20230918,data-20230918T104121-structure-20161130T143000.xml.gz,data-20230918T103237-structure-20161130T143000.xml.gz,data-20230918T103237-structure-20161130T143000.xml.gz,data-20230918T103237-structure-20161130T143000.xml.gz,data-20230918T214957-structure-20161130T143000.xml.gz,data-20230918T093616-structure-20161130T143000.xml.gz,data-20230918T093616-structure-20161130T143000.xml.gz,False
20230917,data-20230917T080658-structure-20161130T143000.xml.gz,data-20230917T090026-structure-20161130T143000.xml.gz,data-20230917T090026-structure-20161130T143000.xml.gz,data-20230917T090026-structure-20161130T143000.xml.gz,data-20230917T214249-structure-20161130T143000.xml.gz,data-20230917T093535-structure-20161130T143000.xml.gz,data-20230917T093535-structure-20161130T143000.xml.gz,False
20230916,data-20230916T065638-structure-20161130T143000.xml.gz,data-20230916T091707-structure-20161130T143000.xml.gz,data-20230916T091707-structure-20161130T143000.xml.gz,data-20230916T091707-structure-20161130T143000.xml.gz,data-20230916T214232-structure-20161130T143000.xml.gz,data-20230916T093652-structure-20161130T143000.xml.gz,data-20230916T093652-structure-20161130T143000.xml.gz,False
20230915,data-20230915T053848-structure-20161130T143000.xml.gz,,,,data-20230915T214540-structure-20161130T143000.xml.gz,data-20230915T093807-structure-20161130T143000.xml.gz,data-20230915T093807-structure-20161130T143000.xml.gz,False
20230914,data-20230914T072239-structure-20161130T143000.xml.gz,data-20230914T090649-structure-20161130T143000.xml.gz,data-20230914T090649-structure-20161130T143000.xml.gz,data-20230914T090649-structure-20161130T143000.xml.gz,data-20230914T214524-structure-20161130T143000.xml.gz,data-20230914T093834-structure-20161130T143000.xml.gz,data-20230914T093834-structure-20161130T143000.xml.gz,False
20230913,data-20230913T081935-structure-20161130T143000.xml.gz,data-20230913T092629-structure-20161130T143000.xml.gz,data-20230913T092629-structure-20161130T143000.xml.gz,data-20230913T092629-structure-20161130T143000.xml.gz,data-20230913T214521-structure-20161130T143000.xml.gz,data-20230913T093804-structure-20161130T143000.xml.gz,data-20230913T093804-structure-20161130T143000.xml.gz,False
20230912,data-20230912T051536-structure-20161130T143000.xml.gz,data-20230912T092158-structure-20161130T143000.xml.gz,data-20230912T092158-structure-20161130T143000.xml.gz,data-20230912T092158-structure-20161130T143000.xml.gz,data-20230912T220602-structure-20161130T143000.xml.gz,data-20230912T093809-structure-20161130T143000.xml.gz,data-20230912T093809-structure-20161130T143000.xml.gz,False
20230911,data-20230911T055316-structure-20161130T143000.xml.gz,data-20230911T082626-structure-20161130T143000.xml.gz,data-20230911T082626-structure-20161130T143000.xml.gz,data-20230911T082626-structure-20161130T143000.xml.gz,data-20230911T214043-structure-20161130T143000.xml.gz,data-20230911T093646-structure-20161130T143000.xml.gz,data-20230911T093646-structure-20161130T143000.xml.gz,False
