region_code,region_name,accomodation_accessibility,attraction_region,economic_growth,kindergarten_accessibility,medium_salary_difference,price_level,unemployment_level,forest,auto,vpk,border
7200000000000,Тюменская область,15274.26,0,7.1,600,51501,16611.86,5.2,1,1,0,0
6800000000000,Тамбовская область,9000,1,9.9,600,31063,15239.4,4.4,0,0,0,0
3300000000000,Владимирская область,11854.12,0,2.1,800,35240,17007.49,5.2,0,0,0,0
9200000000000,г. Севастополь,22576.77,0,7.6,,68667,17130.36,4.6,0,0,0,0
5900000000000,Пермский край,11946.75,0,0.7,600,41958,16520.31,5.4,1,0,1,0
8900000000000,Ямало-Ненецкий автономный округ,23395.99,0,3.6,400,111216,21294.05,2.4,0,0,0,0
5800000000000,Пензенская область,8032.95,0,5.2,600,32766,15413.6,4.4,0,0,1,0
1100000000000,Республика Коми,16681.15,1,-2.3,800,57156,18768.25,6.9,1,0,0,0
2600000000000,Ставропольский край,10023.7,0,2.7,-1,33877,17202.22,6.5,0,1,0,0
1200000000000,Республика Марий Эл,8653.5,0,2.2,600,32278,15477.74,6.5,0,0,0,0
7900000000000,Еврейская автономная область,13453.52,1,-16.5,600,46237,19829.81,6.4,0,0,0,0
0900000000000,Карачаево-Черкесская Республика,9804.69,0,-0.4,-1,29865,15834.2,14.2,0,0,0,0
3200000000000,Брянская область,8070.26,0,1.9,400,31946,16203.43,3.8,0,1,0,1
0300000000000,Республика Бурятия,10845.28,0,0.7,400,41800,16888.87,10.6,0,0,1,0
9900000000000,г. Байконур,0,,,,,,,0,0,0,0
2900000000000,Архангельская область,13915.94,0,3,800,52779,19126.44,7,1,0,0,0
4100000000000,Камчатский край,22226.11,1,-0.5,400,85623,26564.82,3.9,0,0,0,0
7800000000000,г. Санкт-Петербург,19726.36,0,0,600,36300,18818.93,2.7,0,0,1,0
2100000000000,Чувашская Республика,8150.51,0,-1.6,600,31844,14867.8,5.5,0,0,0,0
7600000000000,Ярославская область,11357.55,0,2.6,600,37820,16658.99,6.5,0,0,0,0
7100000000000,Тульская область,11966.6,0,5.1,600,40889,17185.85,4.1,0,0,0,0
4800000000000,Липецкая область,8834.14,0,3.7,400,36790,15085.8,5,0,1,0,0
